Date/Time,3F-B-BED2:Zone Air Temperature [C](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),3F-B-BED2 BEDROOM-B:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 11/27  06:00:00,19.59564912700758,0.0,0.0,-1.6985196175158606 
 11/27  07:00:00,19.534435600677047,0.0,0.0,-1.7167945008650503 
 11/27  08:00:00,19.465769624757305,0.0,0.0,-1.7370978822262693 
 11/27  09:00:00,18.262078095545875,0.0,0.0,-1.9529434895257148 
 11/27  10:00:00,18.049060855707905,0.0,0.0,-2.0660764317613684 
 11/27  11:00:00,17.92576796402448,0.0,0.0,-2.118152691479698 
 11/27  12:00:00,17.801047280183366,0.0,0.0,-2.166076065022986 
 11/27  13:00:00,18.132364826711215,0.0,0.0,-2.160058335564584 
 11/27  14:00:00,18.711531713286097,0.0,0.0,-2.0106411201147349 
 11/27  15:00:00,17.732980535635915,0.0,0.0,-2.1801451060284005 
 11/27  16:00:00,17.465186178903826,0.0,0.0,-2.2917847420634986 
 11/27  17:00:00,17.36864213161044,0.0,0.0,-2.326631342967744 
 11/27  18:00:00,17.283349964168996,0.0,0.0,-2.3560564056508719 
 11/27  19:00:00,17.230655049334908,0.0,0.0,-2.373097006320893 
 11/27  20:00:00,17.20157573569715,0.0,0.0,-2.382776974833709 
 11/27  21:00:00,17.18871725981657,0.0,0.0,-2.3861137682848709 
 11/27  22:00:00,17.183299406908558,0.0,0.0,-2.3880161571864666 
 11/27  23:00:00,18.18484155634228,0.0,0.0,-2.2192333987547587 
 11/27  24:00:00,18.482095967295498,0.0,0.0,-2.1062966651205614 
 11/28  01:00:00,18.41437344884529,0.0,0.0,-2.1125437547941825 
 11/28  02:00:00,18.384142164052574,0.0,0.0,-2.1268035647970939 
 11/28  03:00:00,18.361070744430977,0.0,0.0,-2.138589538873578 
 11/28  04:00:00,18.31956917787431,0.0,0.0,-2.1538023330342548 
 11/28  05:00:00,18.25970606350236,0.0,0.0,-2.1738064298540036 
 11/28  06:00:00,18.182724153214126,0.0,0.0,-2.197555755906579 
 11/28  07:00:00,18.111982693734335,0.0,0.0,-2.2220225270999678 
 11/28  08:00:00,18.06294968008558,0.0,0.0,-2.2407097660791885 
 11/28  09:00:00,17.11119656811893,0.0,0.0,-2.4081419800943548 
 11/28  10:00:00,16.902567569605606,0.0,0.0,-2.5057251002416378 
 11/28  11:00:00,16.903439418439139,0.0,0.0,-2.5162528221252775 
 11/28  12:00:00,16.913175860874579,0.0,0.0,-2.5196495638883418 
 11/28  13:00:00,17.384853503315449,0.0,0.0,-2.4672484525213647 
 11/28  14:00:00,18.19924074492236,0.0,0.0,-2.261719277371032 
 11/28  15:00:00,17.146097048654047,0.0,0.0,-2.4235314091867097 
 11/28  16:00:00,17.048055681857276,0.0,0.0,-2.490141046080181 
 11/28  17:00:00,17.02598936020863,0.0,0.0,-2.497798012040719 
 11/28  18:00:00,16.991316440966167,0.0,0.0,-2.5036690427748735 
 11/28  19:00:00,16.921003376998109,0.0,0.0,-2.519200598036259 
 11/28  20:00:00,16.881594287583103,0.0,0.0,-2.527532823815665 
 11/28  21:00:00,16.844007795164584,0.0,0.0,-2.535765478870159 
 11/28  22:00:00,16.813727445870833,0.0,0.0,-2.54383383816346 
 11/28  23:00:00,17.908124629647998,0.0,0.0,-2.362679482209326 
 11/28  24:00:00,18.261725007783569,0.0,0.0,-2.243345737842293 
 11/29  01:00:00,18.178184625126649,0.0,0.0,-2.2546146841394818 
 11/29  02:00:00,18.160432309554336,0.0,0.0,-2.265322336734753 
 11/29  03:00:00,18.130128251790798,0.0,0.0,-2.274409551880774 
 11/29  04:00:00,18.065816678058817,0.0,0.0,-2.2913752717273985 
