Date/Time,BEDROOM2.2:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BEDROOM2.2:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),BEDROOM2.2:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/02  06:00:00,2392281.057055569,7.796643330948427e-8,-1.077338472878887 
 01/02  07:00:00,2377141.5311614025,8.185452315956354e-8,-1.072938638332231 
 01/02  08:00:00,0.0,0.0,-1.6583973682711444 
 01/02  09:00:00,0.0,0.0,-2.0047079734501596 
 01/02  10:00:00,0.0,0.0,-1.985729777047573 
 01/02  11:00:00,0.0,0.0,-1.969059699813282 
 01/02  12:00:00,0.0,0.0,-1.9573658140705557 
 01/02  13:00:00,0.0,0.0,-1.9443826852508628 
 01/02  14:00:00,0.0,0.0,-1.930620113663836 
 01/02  15:00:00,0.0,0.0,-1.9056854697418367 
 01/02  16:00:00,0.0,0.0,-1.8723328230954697 
 01/02  17:00:00,0.0,0.0,-1.8516591695750855 
 01/02  18:00:00,0.0,0.0,-1.8735600942484046 
 01/02  19:00:00,0.0,0.0,-1.9152503607661827 
 01/02  20:00:00,0.0,0.0,-1.9417446912677979 
 01/02  21:00:00,0.0,0.0,-1.9679247536416727 
 01/02  22:00:00,3382993.461057036,4.1728753785719167e-8,-1.3354829513338694 
 01/02  23:00:00,2384476.6594053555,6.906475391588174e-8,-1.1104064171871185 
 01/02  24:00:00,2263336.6981077354,3.622062649810687e-8,-1.0923724887607465 
 01/03  01:00:00,2463185.9126510617,8.99632368600578e-8,-1.0844419942999349 
 01/03  02:00:00,2492542.4725199618,7.131575330276974e-8,-1.0813594198493238 
 01/03  03:00:00,2501013.673812524,6.845084499218501e-8,-1.082903686935282 
 01/03  04:00:00,2494818.7115472385,6.12885742157232e-8,-1.0841364537195999 
 01/03  05:00:00,2479104.243515709,2.2100721253082157e-8,-1.0838591478371889 
 01/03  06:00:00,2448472.0404975966,6.190248313941993e-8,-1.0819886255063969 
 01/03  07:00:00,2399710.4018420858,7.479457053705119e-8,-1.0782921383804372 
 01/03  08:00:00,2346613.2841857199,3.600575837481301e-8,-1.07268309053797 
 01/03  09:00:00,2346121.05019317,4.338289727456868e-8,-1.067851991243572 
 01/03  10:00:00,2291913.5576688877,5.750280251959339e-8,-1.0628499436233488 
 01/03  11:00:00,2298211.2918622049,9.658833732828498e-8,-1.0586871985479074 
 01/03  12:00:00,2252195.115427155,6.261871021706611e-8,-1.0552870539980306 
 01/03  13:00:00,2210969.715091656,3.5504399420460689e-8,-1.0513887266463578 
 01/03  14:00:00,2173294.24660757,6.548361852765083e-8,-1.0472956130537772 
 01/03  15:00:00,2104259.504040267,5.9037574828835207e-8,-1.0424766774669286 
 01/03  16:00:00,2085782.289990782,5.8116711443290117e-8,-1.0361569094656407 
 01/03  17:00:00,2114332.9175872865,4.420144250616431e-8,-1.0312140482824269 
 01/03  18:00:00,2096066.8631842104,4.348521542851813e-8,-1.0267644837322765 
 01/03  19:00:00,2062367.685996297,1.0129497240995988e-7,-1.0203218404930093 
 01/03  20:00:00,1920463.9850245233,5.115907697472721e-9,-1.013153347980274 
 01/03  21:00:00,1849602.4366580379,2.169144863728434e-8,-1.005313067677183 
 01/03  22:00:00,1822388.7843309059,2.077058525173925e-8,-0.9973491759096967 
 01/03  23:00:00,1809620.2573906829,5.540528036362957e-8,-0.9910289966792634 
 01/03  24:00:00,1742986.0395362406,9.351879270980135e-8,-0.9849975645863955 
 01/04  01:00:00,1879038.8115161728,6.428517506568596,-0.9813825288208141 
 01/04  02:00:00,1879238.2065293729,7.213429853436537e-8,-0.977111527553339 
 01/04  03:00:00,1859865.6777397143,7.61247065383941e-8,-0.9739199375233176 
 01/04  04:00:00,1846139.1040214827,1.1439169611549005e-7,-0.9707637539611262 
 01/04  05:00:00,1836851.229159461,9.653717825131025e-8,-0.9673055679018661 
 01/04  06:00:00,1831824.763275273,9.950440471584443e-8,-0.9635837346092167 
 01/04  07:00:00,1825711.817082122,6.133973329269793e-8,-0.9603166491576857 
 01/04  08:00:00,1814817.7684690357,7.343373908952344e-8,-0.9577529791014072 
 01/04  09:00:00,1853910.1414236169,6.886011760798283e-8,-0.9572286048975365 
 01/04  10:00:00,1826966.4105740605,8.042206900427118e-8,-0.9573119175839525 
 01/04  11:00:00,1857270.3987650998,1.759872247930616e-8,-0.9578107235144637 
 01/04  12:00:00,1825072.0155909053,4.594085112330504e-8,-0.9604289244422763 
 01/04  13:00:00,1784404.1338347805,8.446363608527463e-8,-0.9616475229943242 
 01/04  14:00:00,1730617.5038473323,1.539888216939289e-8,-0.9621024441582826 
 01/04  15:00:00,1624518.332049978,5.4791371439932848e-8,-0.9593961334527952 
 01/04  16:00:00,1572143.634364073,4.246203388902359e-8,-0.9517492954479538 
 01/04  17:00:00,1606246.1200161479,4.348521542851813e-8,-0.9437539175453868 
 01/04  18:00:00,1617302.172672534,1.5347723092418165e-8,-0.9394464932707187 
 01/04  19:00:00,1629416.1132049147,7.146923053369392e-8,-0.935588613287547 
 01/04  20:00:00,1532438.7197113913,7.852918315620628e-9,-0.9317091514639124 
 01/04  21:00:00,1498923.0407111934,5.893525667488575e-8,-0.9294973491747252 
 01/04  22:00:00,1494971.6646045454,6.190248313941993e-9,-0.927442548429044 
 01/04  23:00:00,1490548.977374718,6.062350621505175e-8,-0.9253687999894904 
 01/04  24:00:00,1424744.472518705,1.304556462855544e-8,-0.9231183868486552 
 01/05  01:00:00,1557803.975366556,0.5754660447024662,-0.9230904937456557 
 01/05  02:00:00,1552940.8939731657,5.627498467219993e-10,-0.9222096622125392 
 01/05  03:00:00,1568049.0100845649,7.709672900091391e-8,-0.9223758053977341 
 01/05  04:00:00,1585998.3749815147,4.537810127658304e-8,-0.9243105617742251 
 01/05  05:00:00,1597975.0677507036,6.415348252630793e-8,-0.9274175030566747 
 01/05  06:00:00,1611222.5105807237,2.7421265258453788e-8,-0.930194450073363 
 01/05  07:00:00,1625151.164032528,3.043965079996269e-8,-0.9327816222003463 
 01/05  08:00:00,0.0,0.0,-1.4434578280092248 
 01/05  09:00:00,0.0,0.0,-1.7254055510730473 
 01/05  10:00:00,0.0,0.0,-1.747232764470429 
 01/05  11:00:00,0.0,0.0,-1.759342019229536 
 01/05  12:00:00,0.0,0.0,-1.768787911219746 
 01/05  13:00:00,0.0,0.0,-1.773574879533533 
 01/05  14:00:00,0.0,0.0,-1.771310247690712 
 01/05  15:00:00,0.0,0.0,-1.7668924404264335 
 01/05  16:00:00,0.0,0.0,-1.7603909576201125 
 01/05  17:00:00,0.0,0.0,-1.7582117792863652 
 01/05  18:00:00,0.0,0.0,-1.7576422383807069 
 01/05  19:00:00,0.0,0.0,-1.7597232410600026 
 01/05  20:00:00,0.0,0.0,-1.7527186307538537 
 01/05  21:00:00,0.0,0.0,-1.7672374246783962 
 01/05  22:00:00,2756251.263693248,2.2844233171781526e-8,-1.2268175513818554 
 01/05  23:00:00,1912997.5810970844,1.524540493846871e-8,-1.037571592360017 
 01/05  24:00:00,1801031.2200408916,5.801439328934066e-8,-1.0254929421599726 
